actor_1,actor_2,movie_title,year,genre,director,page_id
בתיה לנצט,חיים טופול,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
בתיה לנצט,אילנה רובינא,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
בתיה לנצט,גדעון זינגר,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
בתיה לנצט,זאב ברלינסקי,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
בתיה לנצט,אבנר חזקיהו,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
בתיה לנצט,גאולה נוני,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
בתיה לנצט,סיי גיטין,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
בתיה לנצט,מאירה שור,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
חיים טופול,אילנה רובינא,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
חיים טופול,גדעון זינגר,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
חיים טופול,זאב ברלינסקי,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
חיים טופול,אבנר חזקיהו,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
חיים טופול,גאולה נוני,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
חיים טופול,סיי גיטין,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
חיים טופול,מאירה שור,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
אילנה רובינא,גדעון זינגר,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
אילנה רובינא,זאב ברלינסקי,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
אילנה רובינא,אבנר חזקיהו,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
אילנה רובינא,גאולה נוני,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
אילנה רובינא,סיי גיטין,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
אילנה רובינא,מאירה שור,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
גדעון זינגר,זאב ברלינסקי,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
גדעון זינגר,אבנר חזקיהו,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
גדעון זינגר,גאולה נוני,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
גדעון זינגר,סיי גיטין,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
גדעון זינגר,מאירה שור,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
זאב ברלינסקי,אבנר חזקיהו,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
זאב ברלינסקי,גאולה נוני,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
זאב ברלינסקי,סיי גיטין,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
זאב ברלינסקי,מאירה שור,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
אבנר חזקיהו,גאולה נוני,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,1706365
