Actor,Degree Rank,Betweenness Rank,Closeness Rank,Eigenvector Rank,Average Rank
יוסף שילוח,6,1,1,1,2.25
זאב רווח,5,2,3,5,3.75
גבי עמרני,8,4,2,4,4.5
גילה אלמגור,2,3,6,7,4.5
גדעון זינגר,21,10,7,3,10.25
שייקה אופיר,24,14,5,2,11.25
משה איבגי,3,6,8,30,11.75
לבנה פינקלשטיין,11,8,10,20,12.25
אריה מוסקונה,12,17,9,14,13.0
אבנר חזקיהו,34,9,4,6,13.25
אלון אבוטבול,1,7,20,38,16.5
עמוס לביא,7,5,12,44,17.0
צחי נוי,14,16,23,15,17.0
אסי דיין,4,11,35,23,18.25
אלישבע מיכאלי,22,25,17,10,18.5
מוסקו אלקלעי,19,36,16,8,19.75
אורי גבריאל,9,13,13,49,21.0
אלברט אילוז,12,15,11,53,22.75
אריה אליאס,20,39,21,12,23.0
יהודה בארקן,41,31,18,26,29.0
אורי זוהר,51,28,33,13,31.25
יונה אליאן,37,33,31,27,32.0
מוני מושונוב,16,18,28,67,32.25
יגאל עדיקא,22,27,27,55,32.75
ז'אק כהן,39,66,15,17,34.25
יהודה אפרוני,32,68,26,18,36.0
אורי לוי,61,37,22,24,36.0
יהודה ברקן,81,29,14,22,36.5
שמיל בן ארי,18,21,36,74,37.25
ראובן דיין,41,45,32,45,40.75
