actor_1,actor_2,actor_1_seen_before_2021,actor_2_seen_before_2021
אבא קובנר,אוגוסט דיהל,False,False
אבא קובנר,אמיתי קדר,False,False
אבא קובנר,יואל רוזנקיאר,False,True
אבא קובנר,ישי גולן,False,True
אבא קובנר,מיכאל אלוני,False,True
אבא קובנר,ניקולאי קינסקי,False,False
אבא קובנר,עוז זהבי,False,True
אבו עמר,אביתר אדרי,False,False
אבו עמר,אלברט אילוז,False,True
אבו עמר,ארקדי שוסטר,False,False
אבו עמר,דוד אדרי,False,False
אבו עמר,יונס,False,False
אבו עמר,מירב גרובר,False,True
אבו עמר,רחל אדרי,False,False
אבי גרייניק,איציק שמלי,True,False
אבי גרייניק,אליאו בן זאב,True,False
אבי גרייניק,ארקדי דוכין,True,False
אבי גרייניק,טיילור מלכוב,True,False
אבי גרייניק,ישי לפידות,True,False
אבי גרייניק,רונן הרשקוביץ,True,False
אבי גרייניק,שי חי,True,False
אבי גרייניק,ששי גז,True,False
אבי סרוסי,אדיר מילר,False,True
אבי סרוסי,יניב ביטון,False,True
אבי סרוסי,כרמל נצר,False,False
אבי סרוסי,סוזנה פפיאן,False,False
אבי סרוסי,עלא דקה,False,True
אבי סרוסי,ערן זרחוביץ',False,False
אבי סרוסי,שירה נאור,False,True
אבי סרוסי,שני כהן,False,False
אבי סרוסי,תום אפלבאום,False,False
אביב אלקבץ,איילת אפשטיין,True,False
אביב אלקבץ,יהב גולדנברג,True,False
אביב אלקבץ,ינון קנר,True,False
אביב אלקבץ,נמרוד פלג,True,False
אביב אלקבץ,רן קפלן,True,False
אביב בוכלר,אלמה דישי,False,False
אביב בוכלר,יואב בבלי,False,False
אביב בוכלר,לייב לב לוין,False,False
אביב בוכלר,נעמי הררי,False,False
אביב בוכלר,עזרא דגן,False,True
אביב בוכלר,קובי זיסלין,False,False
אביבה אבידן,אביה מלכה,False,False
אביבה אבידן,אורי כץ,False,False
אביבה אבידן,אסי ישראלוף,False,True
אביבה אבידן,דוד שאול,False,True
אביבה אבידן,לירון וייסמן,False,False
אביבה אבידן,נכה,False,False
אביבה אבידן,ציון ברוך,False,True
אביבה אבידן,רגל עץ,False,False
אביבה אבידן,שלום מיכאלשווילי,False,True
אביגיל הררי,ביאן ענתיר,True,False
אביגיל הררי,יעל פולמן,True,False
אביגיל הררי,יערה,True,False
אביגיל הררי,ירמי שיק בלום,True,False
אביה מלכה,אורי כץ,False,False
אביה מלכה,אמירה גרון,False,False
אביה מלכה,אני אימנדזה,False,False
אביה מלכה,אסי ישראלוף,False,True
אביה מלכה,דוד שאול,False,True
אביה מלכה,ורוניקה קלנדרישבילי,False,False
אביה מלכה,טאקו טבטדז,False,False
אביה מלכה,ליז רביאן,False,False
אביה מלכה,לירון וייסמן,False,False
אביה מלכה,נועה בן גיגי,False,False
אביה מלכה,נכה,False,False
אביה מלכה,נעמה שטרית,False,True
אביה מלכה,ציון ברוך,False,True
אביה מלכה,רגל עץ,False,False
אביה מלכה,שיפי אלוני,False,True
אביה מלכה,שלום מיכאלשווילי,False,True
אביה מלכה,שרי גבעתי,False,False
אביהו רונן,אריה ברנע,False,False
אביהו רונן,גבריאל בך,False,False
אביהו רונן,דינה פורת,False,False
אביהו רונן,חנה יבלונקה,False,False
אביהו רונן,יהודה באואר,False,False
אביהו רונן,יואל רפל,False,False
אביהו רונן,יצחק ארד,False,False
אביהו רונן,ישראל גוטמן,False,False
אביהו רונן,עמר ברטוב,False,False
אביעד בנטוב,אורית זפרן,True,False
אביעד בנטוב,לאה לב,True,False
אביעד בנטוב,מיכל מנור,True,False
אביעד בנטוב,מעיין לאוב,True,False
אביעד בנטוב,נועם כרמלי,True,False
אביעד בנטוב,תומר פישמן,True,False
אביתר אדרי,אלברט אילוז,False,True
אביתר אדרי,ארקדי שוסטר,False,False
אביתר אדרי,דוד אדרי,False,False
אביתר אדרי,יונס,False,False
אביתר אדרי,מירב גרובר,False,True
אביתר אדרי,רחל אדרי,False,False
אביתר לזר,אדם פרופ,True,False
אביתר לזר,איציק גרובייס,True,False
אביתר לזר,דין מירושניקוב,True,False
אביתר לזר,דניאל אליאסי,True,False
אביתר לזר,יהודה רוזנווסר,True,False
אביתר לזר,נתנאל מרדכי הלוי,True,False
אביתר לזר,עידן צברי,True,False
אברהם ארנסון,און רפאלי,False,True
אברהם ארנסון,אקי אבני,False,True
אברהם ארנסון,גל אמיתי,False,False
אברהם ארנסון,דין גרבר,False,False
אברהם ארנסון,חן אמסלם,False,True
אברהם ארנסון,טל גרושקה,False,True
אברהם ארנסון,עידן תלם,False,False
אברהם ארנסון,קווין רובין,False,False
אברהם ארנסון,שירה לוי,False,False
אברהם הלר,אורי זוהר,False,False
אברהם הלר,ציפורה הלר,False,False
אברהם הלר,שי אביבי,False,True
אברהם שלום לוי,דאשה טבורונוביץ',True,False
אברהם שלום לוי,ויקטוריה קוזאק,True,False
אברהם שלום לוי,לנה פרייפלד,True,False
אבשלום פולק,יורם הוניג,True,False
אבשלום פולק,נור פיבק,True,False
אדי קבטנר,אוליבר ג'קסון-כהן,False,False
אדי קבטנר,אנטון לסר,False,False
אדי קבטנר,ג'רמי נוימרק ג'ונס,False,False
אדי קבטנר,דויד קרוס,False,False
אדי קבטנר,ז'יל בן דוד,False,True
אדי קבטנר,מייקל סי פוקס,False,False
אדיר מילר,אנה בלוג,True,False
אדיר מילר,אסתר מרטון,True,False
אדיר מילר,בוגלרקה קאוש,True,False
אדיר מילר,דומיניקה בירו פנה,True,False
אדיר מילר,ירדן ג'רבי,True,False
אדיר מילר,כרמל נצר,True,False
אדיר מילר,סוזנה פפיאן,True,False
אדיר מילר,ערן זרחוביץ',True,False
אדיר מילר,פטר לינקה,True,False
אדיר מילר,צ'רבה קרקס,True,False
