Community,Community Size,Actor,Internal Degree,Weighted Internal Degree,Global Degree
1,297,אסי דיין,58,73,129
1,297,אלברט אילוז,50,54,137
1,297,שרון אלכסנדר,45,51,123
1,297,שמיל בן ארי,41,54,136
1,297,עמוס לביא,40,47,117
2,183,מוני מושונוב,63,83,111
2,183,ליאור אשכנזי,38,45,137
2,183,מיכאל מושונוב,38,44,80
2,183,מנשה נוי,37,50,99
2,183,צחי גראד,37,44,160
3,156,יגאל עדיקא,47,61,125
3,156,אורי גבריאל,37,44,144
3,156,אריה מוסקונה,37,44,92
3,156,זאב רווח,31,35,66
3,156,גבי עמרני,31,34,60
4,147,לבנה פינקלשטיין,43,53,114
4,147,צחי הלוי,36,44,72
4,147,ששון גבאי,31,38,104
4,147,אוולין הגואל,28,36,77
4,147,עפר שכטר,28,34,69
5,142,מיכל ינאי,31,33,66
5,142,נאיה פדרמן,29,33,32
5,142,אורי הוכמן,27,29,71
5,142,מאיר סוויסה,26,26,44
5,142,יובל שם-טוב,24,25,35
6,142,מכרם ח'ורי,33,36,60
6,142,רוברט הניג,24,27,37
6,142,שרית וינו אלעד,22,22,52
6,142,מילי עשת,22,22,38
6,142,אלון אבוטבול,18,21,162
7,125,אדיר מילר,33,34,39
7,125,גורי אלפי,25,25,42
7,125,תובל שפיר,24,28,33
7,125,ג'וי ריגר,24,24,63
7,125,דניאל ליטמן,20,20,23
8,107,ולדימיר פרידמן,30,31,117
8,107,ציון ברוך,26,33,79
8,107,שלום מיכאלשווילי,25,30,30
8,107,רועי ניק,24,24,38
8,107,דוד שאול,18,22,32
9,96,אייל רוזלס,28,30,107
9,96,יואב לוי,24,25,58
9,96,דניאלה קרטס,18,18,27
9,96,אדריאנו חאובל,17,17,17
9,96,קרן ברגר,16,16,47
10,93,שרה אדלר,29,29,55
10,93,יחזקאל לזרוב,21,22,104
10,93,גרא סנדלר,19,19,51
10,93,יהודה אלמגור,17,17,22
10,93,גפן ברקאי,17,17,18
