Community,Actors,Associated Movies,Associated Movie Share (%),Cross-Community Movies,Top Actors,Dominant Genres,Dominant Directors,Main Activity Period,Average Movie Year,First Movie Year,Last Movie Year
1,297,161,18.42,140,"אסי דיין, אלברט אילוז, שרון אלכסנדר, שמיל בן ארי, עמוס לביא","דרמה (106), קומדיה (12), דרמה קומית (4), להט""בי (3), עצמאי (2)","חיים בוזגלו (6), דורון ערן (5), אסי דיין (5), אורי ברבש (4), מיכל בת-אדם (4)",2000–2009,2005.4,1990,2025
2,183,99,11.33,92,"מוני מושונוב, ליאור אשכנזי, מיכאל מושונוב, מנשה נוי, צחי גראד","דרמה (54), קומדיה (20), דרמה קומית (7), פשע (4), להט""בי (4)","צבי שיסל (3), איתן גרין (3), יוסף פיצ'חדזה (3), עמוס גיתאי (3), עודד דוידוף (3)",2000–2009,2008.1,1990,2025
3,156,66,7.55,59,"יגאל עדיקא, אורי גבריאל, אריה מוסקונה, זאב רווח, גבי עמרני","דרמה (33), קומדיה (8), דרמה קומית (4), מוזיקלי (2), תיעודי (2)","ארנון צדוק (4), אריק לובצקי (4), ערן ריקליס (3), אורי ענבר (3), מתי הררי (3)",1990–1999,2003.0,1990,2025
4,147,78,8.92,71,"לבנה פינקלשטיין, צחי הלוי, ששון גבאי, אוולין הגואל, עפר שכטר","דרמה (36), קומדיה (21), אקשן (3), דרמה קומית (3), מתח (2)","שמי זרחין (5), ארז תדמור (5), שי כנות (3), שלום אסייג (3), אמיל בן שמעון (2)",2010–2019,2012.8,1990,2026
6,142,52,5.95,38,"מכרם ח'ורי, רוברט הניג, שרית וינו אלעד, מילי עשת, אלון אבוטבול","דרמה (35), קומדיה (4), סטודנטים (2), רומנטי (2), תיעודי (2)","טומי לנג (6), שבי גביזון (2), ערן ריקליס (2), גור בנטביץ' (1), שמי זרחין (1)",2000–2009,2011.8,1995,2025
5,142,44,5.03,35,"מיכל ינאי, נאיה פדרמן, אורי הוכמן, מאיר סוויסה, יובל שם-טוב","דרמה (13), קומדיה (12), מוזיקלי (5), הרפתקאות (5), קומי (3)","קובי מחט (5), צחי גראד (3), עמית אולמן (2), מנשה נוי (1), אורון אדר (1)",2010–2019,2013.2,1997,2026
7,125,40,4.58,32,"אדיר מילר, גורי אלפי, תובל שפיר, ג'וי ריגר, דניאל ליטמן","דרמה (21), קומדיה (10), נעורים (4), להט""בי (2), אימה (2)","אבי נשר (6), מתי הררי (3), דרור שאול (1), שמואל הספרי (1), אמיר הספרי (1)",2020–Present,2017.6,2003,2026
8,107,41,4.69,32,"ולדימיר פרידמן, ציון ברוך, שלום מיכאלשווילי, רועי ניק, דוד שאול","דרמה (19), קומדיה (9), פעולה (4), רומנטי (2), תיעודי (2)","יבגני רומן (3), איתן פוקס (2), בן בכר (2), שבי גביזון (1), עירית לינור (1)",2010–2019,2010.9,1995,2025
9,96,22,2.52,16,"אייל רוזלס, יואב לוי, דניאלה קרטס, אדריאנו חאובל, קרן ברגר","דרמה (13), עצמאי (3), להט""בי (1), מותחן פוליטי (1), קומדיה רומנטית (1)","דורון ערן (3), מרק רוזנבאום (1), איתי לב (1), טלי שלום עזר (1), איל בן-אהרון (1)",2010–2019,2013.5,2000,2025
10,93,25,2.86,18,"שרה אדלר, יחזקאל לזרוב, גרא סנדלר, יהודה אלמגור, גפן ברקאי","דרמה (18), מתח (3), נעורים (2), הייפרלינק (1), תיעודי (1)","מיכל ברזיס (2), עודד בן נון (2), שמואל חיימוביץ' (1), רועי הורנשטיין (1), אתגר קרת (1)",2010–2019,2013.8,2004,2025
11,93,23,2.63,18,"חגית דסברג, צחי נוי, ליא קניג, אורי יניב, איצ'ו אביטל","דרמה (11), קומדיה (2), עצמאי (2), ילדים (1), הנפשה (1)","ענר פרמינגר (2), חנן קמינסקי (2), איתן גרין (1), יוסי אבולעפיה (1), אמנון רובינשטיין (1)",1990–1999,2004.8,1992,2025
12,92,35,4.0,24,"משה איבגי, ראידה אדון, גילה אלמגור, אוהד קנולר, ג'וליאנו מר","דרמה (21), קומדיה (2), ביוגרפי (1), מותחן (1), דרמה קומית (1)","אלי כהן (2), רוני ניניו (2), ערן ריקליס (1), אורי ענבר (1), עמוס גיתאי (1)",2000–2009,2006.8,1991,2024
