actor_1,actor_2,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_community,degree_sum,pagerank_sum,label,prediction_score,future_movie,future_year
און רפאלי,חן אמסלם,0,0.0,0.0,54,5,0,15,0.0006497259494473082,1,0.06274486654105703,פול ספיד,2021
לני כהן,ניב מג'ר,0,0.0,0.0,72,4,0,17,0.000634810639225271,1,0.07417937441203067,ילד זין (סרט),2025
און רפאלי,טל גרושקה,0,0.0,0.0,48,3,0,14,0.0006054055981470627,1,0.12300241561178808,פול ספיד,2021
ליר כץ,תמיר גינזבורג,0,0.0,0.0,81,4,0,18,0.0005947241253571303,1,0.1363142873495417,כיסופים (סרט),2024
אלעד צפני,ירון ברלד,0,0.0,0.0,72,4,0,17,0.000627921238945377,1,0.1365588120221824,מרוסקים: גולסטאר הסרט,2024
אדם גבאי,תמיר גינזבורג,0,0.0,0.0,72,4,0,17,0.0005827669097804497,1,0.1401977744277677,כיסופים (סרט),2024
אליעד נחום,נועה קירל,0,0.0,0.0,81,4,0,18,0.00056007183550563,1,0.14047027267676465,אוהב אותך צ'ארלי,2022
יואל רוזנקיאר,רותם סלע,0,0.0,0.0,72,4,0,17,0.0006140015176628619,1,0.14581330615636204,סודה (סרט),2024
אלישע בנאי,רמי פורטיס,0,0.0,0.0,81,4,0,18,0.0005412239849949898,1,0.1482269689453907,עצבני ומהיר: הסיפור של פאסט מיוזיק והפטיפון,2022
יהונתן וילוז'ני,תמיר גינזבורג,0,0.0,0.0,63,4,0,16,0.0006124094385663635,1,0.1491140309855317,כיסופים (סרט),2024
ליטל שוורץ,שאדי מרעי,0,0.0,0.0,35,4,0,12,0.0005278852971397998,1,0.14920349968691862,חמדה (סרט),2024
אורנה כץ,יותם קושניר,0,0.0,0.0,45,4,0,14,0.0004706051660967412,1,0.1597294523070006,המנצחים (סרט),2023
יהודה גרובייס,שלמה סדן,0,0.0,0.0,40,4,0,13,0.00047737178408456977,1,0.15991962352653893,נקמה יהודית 6,2024
אורנה כץ,דור הררי,0,0.0,0.0,30,4,0,11,0.0004095715024709304,1,0.16032096773436072,המנצחים (סרט),2023
אליעד נחום,ליאור דובדבני,0,0.0,0.0,81,3,0,18,0.0005445770872564373,1,0.16330134809533708,אוהב אותך צ'ארלי,2022
ליאור דובדבני,עדי הימלבלוי,0,0.0,0.0,81,3,0,18,0.0005222309834106529,1,0.16548610796912888,אוהב אותך צ'ארלי,2022
ליאור דובדבני,נועה קירל,0,0.0,0.0,81,3,0,18,0.0005581235401133275,1,0.16805625636626353,אוהב אותך צ'ארלי,2022
אסתי קוסוביצקי,ניב מג'ר,0,0.0,0.0,136,4,0,25,0.0008222505236817404,1,0.1735320352676456,"בית (סרט, 2023)",2023
גל לב,קרן צור,0,0.0,0.0,36,3,0,13,0.0004338486059203752,1,0.17679101391733926,"קריוקי (סרט, 2022)",2022
דובי גל,זהבה בן,0,0.0,0.0,81,3,0,18,0.000572652838047265,1,0.18360115245758718,ימים טובים: סיפורו של זאב רווח,2024
חן אמסלם,טל גרושקה,0,0.0,0.0,72,3,0,17,0.0004967135246603854,1,0.1912575793153872,פול ספיד,2021
אדם גבאי,ליר כץ,0,0.0,0.0,72,3,0,17,0.0004816702780589163,1,0.1944210876454842,כיסופים (סרט),2024
נעמה שטרית,שיפי אלוני,0,0.0,0.0,81,3,0,18,0.0005223722942788903,1,0.1950868059542793,איראן 3,2022
ניב מג'ר,רועי ניק,0,0.0,0.0,160,4,0,28,0.0009483754049214707,1,0.19544001986667586,"בית (סרט, 2023)",2023
אליעד נחום,עדי הימלבלוי,0,0.0,0.0,81,3,0,18,0.0005241792788029556,1,0.199684751788342,אוהב אותך צ'ארלי,2022
אדם גבאי,יונתן ברק,0,0.0,0.0,64,3,0,16,0.00047960513147488634,1,0.19990284404057052,תמונת הניצחון,2021
ליאת הר לב,שלומי טפיארו,0,0.0,0.0,81,3,0,18,0.000525852567459951,1,0.20112849970782434,"השתיקה (סרט, 2022)",2022
אדם גבאי,יהונתן וילוז'ני,1,0.07142857142857142,0.23090777506376875,56,2,0,15,0.0004993555912681496,1,0.20170898386740194,כיסופים (סרט),2024
יובל מנדלסון,רמי פורטיס,0,0.0,0.0,81,3,0,18,0.0005544153733490308,1,0.20196377867398166,עצבני ומהיר: הסיפור של פאסט מיוזיק והפטיפון,2022
אדם גבאי,אימרי ביטון,0,0.0,0.0,72,3,0,17,0.0005044611122383663,1,0.2045505392054452,"סבוי (סרט, 2022)",2022
אלישע בנאי,יובל מנדלסון,0,0.0,0.0,81,3,0,18,0.0005491139756952808,1,0.2067104872775811,עצבני ומהיר: הסיפור של פאסט מיוזיק והפטיפון,2022
יהונתן וילוז'ני,ליר כץ,0,0.0,0.0,63,3,0,16,0.0005113128068448302,1,0.20949074167383494,כיסופים (סרט),2024
אנסטסיה פיין,בועז קונפורטי,0,0.0,0.0,81,3,0,18,0.0005343499414777809,1,0.21078122994079512,כביש הסרגל (סרט),2024
ג'ימבו ג'יי,עידן אלתרמן,0,0.0,0.0,234,4,0,35,0.0010166701911286712,1,0.21201685774443924,העיר הזאת (סרט),2023
מעיין תורג'מן,קוסטה קפלן,0,0.0,0.0,72,3,0,17,0.0005453340256553052,1,0.2143359024631087,חלב (סרט),2024
אברהם שלום לוי,הילה סורג'ון פישר,0,0.0,0.0,72,3,0,17,0.000591258885756637,1,0.21472107526078435,ולריה מתחתנת,2023
איציק סיידוף,אלון לשם,0,0.0,0.0,45,3,0,14,0.0004872271276590486,1,0.2178038418570666,אדמה בוערת (סרט ישראלי),2022
דור הררי,יותם קושניר,0,0.0,0.0,54,3,0,15,0.0004991748953901236,1,0.22196082704293804,המנצחים (סרט),2023
אלון נוימן,ג'ימבו ג'יי,0,0.0,0.0,306,4,0,43,0.0012494435274558544,1,0.25145594368832397,העיר הזאת (סרט),2023
דודו באוכנר,עודד מנסטר,0,0.0,0.0,9,8,0,10,0.00073001512294173,1,0.2519768229599264,הארוחה,2023
הרצל טובי,תמיר גינזבורג,0,0.0,0.0,144,4,0,25,0.0007706290678533063,1,0.2533139362144443,כיסופים (סרט),2024
נעמה פרייס,סבטלנה דמידוב,0,0.0,0.0,70,4,0,17,0.0006769973784422875,1,0.25807150134415485,הפילגש,2022
