feature,importance,std
clustering_mean,0.15756658510870286,0.010112986554948251
pagerank_sum,0.0643240258558085,0.007880301711607775
preferential_attachment,0.06240584656566284,0.006919780327593818
shortest_path,0.0545260668721954,0.004801821452384327
spectral_l2,0.03510180074382467,0.001997544359180392
resource_allocation,0.02135564940612066,0.003168197639071024
weighted_degree_sum,0.016761862082348943,0.004268200028994249
common_neighbors,0.013762956412836702,0.003445032757607904
spectral_l1,0.011072343847842059,0.003381390893557543
degree_centrality_sum,0.009348223163395375,0.0035774831792502733
degree_difference,0.0036917148978992233,0.0016181252337437472
spectral_cosine,0.0028324554015312976,0.0011952784775287996
degree_max,0.002022810888888493,0.001339296083643193
jaccard,0.0014464368239209048,0.0007093291587236069
adamic_adar,0.001156549277882002,0.0007683895635379382
degree_sum,0.0009596898263275922,0.0009213954309485568
betweenness_sum,0.0003573079069879359,0.0012689503516990623
same_community,0.0002264683934548706,0.0005896760380547812
degree_min,0.00022506797052713746,0.0002135465746229557
spectral_dot,-0.0002436735894239872,0.00011310687824098036
