,Until 1969,1970–1989,1990–Today
films,57.0,224.0,874.0
nodes,217.0,851.0,2537.0
edges,1580.0,7119.0,19304.0
density,0.06741764806280935,0.019683417432778048,0.006000778385260914
average_clustering,0.7640261961740791,0.762318469062293,0.7678784855561276
connected_components,3.0,4.0,60.0
isolated_nodes,2.0,0.0,18.0
largest_component_size,215.0,841.0,2340.0
largest_component_share,0.9907834101382489,0.9882491186839013,0.9223492313756405
radius_lcc,3.0,3.0,4.0
diameter_lcc,5.0,5.0,7.0
average_degree,14.56221198156682,16.73090481786134,15.217973985021679
maximum_degree,60.0,147.0,170.0
