page_id,movie_title,year
1706365,איי לייק מייק (סרט),1960
631050,הם היו עשרה,1960
1486999,חולות לוהטים,1960
2518194,רחל (סרט),1960
2504743,תיקון קטן,1960
857892,בעל החלומות,1962
1636341,חבורה שכזאת,1962
1705716,ניני (סרט),1962
1739089,סיניה (סרט),1962
722734,עץ או פלסטיין,1962
934289,"אלדורדו (סרט, 1963)",1963
934271,אף מלה למורגנשטיין,1963
1706136,אשת הגיבור,1963
1139461,בירושלים,1963
2085703,המרתף (סרט),1963
934313,רק בלירה,1963
1381293,אולי תרדו שם,1964
934277,דליה והמלחים,1964
1673760,הבו בנות לאילת,1964
1639784,משפחת שמחון (סרט),1964
49498,סאלח שבתי,1964
1640335,שמונה בעקבות אחד (סרט קולנוע),1964
618198,חור בלבנה,1965
2039089,פיצוץ בחצות,1965
1970003,רק לא בשבת,1965
1337430,אני אחמד,1966
1749001,המניע לרצח,1966
515568,מבצע קהיר,1966
771210,מוישה ונטילטור,1966
1937401,סבינה והגברים,1966
187658,פורטונה (סרט),1966
1136105,שני קוני למל (סרט),1966
1374634,999... עליזה מזרחי,1967
412065,ארבינקא (סרט),1967
2186150,האם תל אביב בוערת?,1967
916434,הוא הלך בשדות (סרט),1967
721528,לאט יותר,1967
1769948,סיירים (סרט),1967
384118,שלושה ימים וילד (סרט),1967
1765180,איריס (סרט),1968
2529059,אסירי החופש,1968
1799770,הבן האובד (סרט),1968
1472160,המטרה טיראן,1968
1485922,"המלחמה על השלום (סרט, 1968)",1968
2060190,הצד השני,1968
768803,השכונה שלנו,1968
2443466,חמישה ימים בסיני,1968
1001124,טוביה ושבע בנותיו,1968
1407395,כל ממזר מלך,1968
1644183,נס בעיירה,1968
812054,ששת הימים (סרט),1968
1438973,השמלה (סרט),1969
2433857,להט במים,1969
1979207,לפני מחר,1969
566471,מצור (סרט),1969
1687493,מרגו שלי,1969
46526,תעלת בלאומילך,1969
812433,אורח בעונה מתה,1970
1419014,הפריצה הגדולה,1970
1771822,התמהוני,1970
770084,התרוממות (סרט),1970
617093,לופו,1970
98879,שבלול (סרט),1970
2015141,אני ירושלמי,1971
2046536,בלומפילד (סרט),1971
70969,השוטר אזולאי,1971
1708230,התרנגול,1971
189061,חסמבה ונערי ההפקר,1971
1184766,חצי חצי,1971
766501,כץ וקרסו,1971
770666,מלכת הכביש,1971
1638650,פישקה במילואים,1971
145759,אני אוהב אותך רוזה,1972
2203649,הבריחה אל השמש,1972
2102869,הגלולה,1972
873397,"הטרמפיסט (סרט, 1972)",1972
1639377,ז'אקו והיצאניות,1972
1936855,לא ביום ולא בלילה (סרט),1972
187500,לאן נעלם דניאל וקס?,1972
1654152,מי ורדים מפורט סעיד,1972
94374,מציצים,1972
1352160,נורית (סרט),1972
1639242,נחצ'ה והגנרל,1972
1115120,סלומוניקו,1972
290636,עזית הכלבה הצנחנית (סרט),1972
1773902,פלוך,1972
