page_id,movie_title,year,genre,director,actor_count,extraction_source,error,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,actor_7,actor_8,actor_9,actor_10
1706365,איי לייק מייק (סרט),1960,קומדיה רומנטית,פיטר פריי,9,infobox+section,,בתיה לנצט,חיים טופול,אילנה רובינא,גדעון זינגר,זאב ברלינסקי,אבנר חזקיהו,גאולה נוני,סיי גיטין,מאירה שור,
631050,הם היו עשרה,1960,,ברוך דינר,9,infobox,,עודד תאומי,בומבה צור,ליאו פילר,גבריאל דגן,יהודה גבאי,ניסים עזיקרי,איתן פריבר,ישראל רובינצ'יק,נינט דינר,
1486999,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,9,infobox,,דליה לביא,אורי זוהר,עודד תאומי,עודד קוטלר,גרט הופמן,אנ',נתן כוגן,גילה אלמגור,אסתר עופרים,
2518194,רחל (סרט),1960,דרמה | פשע,נורי חביב,5,infobox,,רחל טטרקו (חביב),דוד רם,יצחק בנש,מרגלית שמיט,ששון סער,,,,,
2504743,תיקון קטן,1960,דרמה,חיים חפר | דן בן אמוץ,5,section,,אורי זוהר,יהורם גאון,מישא אשרוב,גברי בנאי,"להקת הנח""ל",,,,,
857892,בעל החלומות,1962,,יורם גרוס,3,infobox,,עמיקם גורביץ,שלמה בר-שביט,שמואל עצמון,,,,,,,
1636341,חבורה שכזאת,1962,דרמה,זאב חבצלת,10,infobox+section,,יוסי בנאי,בומבה צור,גילה אלמגור,נתן כוגן,עמנואל בן עמוס,אבנר חזקיהו,עודד תאומי,גדעון זינגר,שושנה דואר,רות שרון
1705716,ניני (סרט),1962,,שלמה סוריאנו,3,infobox,,אריק איינשטיין,נפתלי יבין,יעקב איינשטיין,,,,,,,
1739089,סיניה (סרט),1962,דרמה,אילן אלדד,10,infobox+section,,יפתח ספקטור,שמעון ישראלי,דינה דורון,אהוד בנאי,שייקה לוי,נאוה שאן הרמן,הדרה אזולאי,יצחק ברזילי,יצחק בנימיני,סיניה חמדן
722734,עץ או פלסטיין,1962,,נתן אקסלרוד | יואל זילברג | אורי זוהר,0,not_found,,,,,,,,,,,
934289,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,10,infobox+section,,חיים טופול,גילה אלמגור,יוסי ידין,שייקה אופיר,שמעון פינקל,תקוה מור,אורי לוי,מרדכי ארנון,עמוס אבני,אבנר חזקיהו
934271,אף מלה למורגנשטיין,1963,,אריה אליאס | בן עויזרמן,0,not_found,,,,,,,,,,,
1706136,אשת הגיבור,1963,דרמה,פיטר פריי,7,infobox+section,,בתיה לנצט,שמואל אומני,גדעון שמר,ברוך קלס,לילי קלס,איתן עברי,עפרה שיין,,,
1139461,בירושלים,1963,תיעודי,דוד פרלוב | עמיחי חסון | דוד אופק | דן גבע | נדב לפיד,1,infobox,,זלדה,,,,,,,,,
2085703,המרתף (סרט),1963,דרמה,נתן גרוס,4,infobox+section,,שמעון ישראלי,זהרירה חריפאי,דודיק סמדר,חנה כהנא,,,,,,
934313,רק בלירה,1963,קומדיה,יורם גרוס,3,infobox,,גדעון זינגר,יעקב בן-סירא,מיכאל גור,,,,,,,
1381293,אולי תרדו שם,1964,קומדיה,פוצ'ו | אמציה חיוני,10,infobox+section,,יהודה פוקס,אורי זוהר,אריק איינשטיין,יעל אביב,עודד קוטלר,דבורה קידר,מרדכי ארנון,נלי שפר,יעקב טימן,מרגלית אנקורי
934277,דליה והמלחים,1964,קומדיה,מנחם גולן,10,infobox+section,,ורוניק ונדל,שרגא פרידמן,עודד תאומי,שייקה אופיר,אריק איינשטיין,בומבה צור,ראובן שפר,אורי לוי,יעקב בן-סירא,גדעון זינגר
1673760,הבו בנות לאילת,1964,קומדיה,ליאו פילר | נתן אקסלרוד,10,infobox+section,,שלמה בר-שביט,אורי לוי,אווה ליאון,אלישבע מיכאלי,דוד רם,רפאל קלצ'קין,יעל דרויאנוב,נחום שליט,פסח בורשטיין,חיים פולני
1639784,משפחת שמחון (סרט),1964,קומדיה,יואל זילברג,10,infobox+section,,מאיר מרגלית,שושנה ברנע,רינה גנור,עודד קוטלר,חנן גולדבלט,ישראל פוליאקוב,שרגא פרידמן,עדנה פלידל,זלמן לביוש,אלישבע מיכאלי
49498,סאלח שבתי,1964,קומדיה,אפרים קישון,10,infobox+section,,חיים טופול,גאולה נוני,זהרירה חריפאי,גילה אלמגור,שייקה לוי,אסתר גרינברג,אריק איינשטיין,שרגא פרידמן,מרדכי ארנון,שמואל רודנסקי
1640335,שמונה בעקבות אחד (סרט קולנוע),1964,,מנחם גולן,10,infobox+section,,שייקה אופיר,בומבה צור,אלישבע מיכאלי,גאולה גיל,ניקו ניתאי,איתן פריבר,יעקב בנאי,שלמה וישינסקי,שמואל וולף,לידיה אופיר
618198,חור בלבנה,1965,קומדיה,אורי זוהר,9,infobox+section,,אורי זוהר,אברהם הפנר,שמוליק קראוס,שושיק שני,אריק לביא,ישראל גוריון,דן בן אמוץ,דפנה אילת,שייקה אופיר,
2039089,פיצוץ בחצות,1965,דרמה,הרווה ברומברז'ה,10,infobox+section,,פסקל פטי,רמון פלגרן,גאולה נוני,גדעון שמר,נתן כוגן,אלכס פלג,אלישבע מיכאלי,יעקב בודו,אברהם בן-יוסף,יצחק מיכאל שילה
1970003,רק לא בשבת,1965,קומדיה,אלכס יופה,10,infobox+section,,דליה פרידלנד,יעקב בודו,אבנר חזקיהו,גאולה נוני,יונה לוי,מישא אשרוב,רינה גנור,בומבה צור,רחל אטאס,יעל אביב
1337430,אני אחמד,1966,תיעודי,"אבשלום כ""ץ | רם לוי",1,infobox,,אחמד סאבר מסארווה,,,,,,,,,
1749001,המניע לרצח,1966,דרמה,פיטר פריישטדט,10,infobox+section,,גילה אלמגור,גדעון זינגר,אהרן מסקין,אבנר חזקיהו,אורי לוי,אורי זוהר,עודד תאומי,אברהם מור,יצחק שילה,בקי סוזין (פריישטדט)
