Actor,Degree,Weighted Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Degree Rank,Betweenness Rank,Closeness Rank,Eigenvector Rank,Average Rank
יוסף שילוח,180,259.0,0.05705229793977813,0.080866947851735,0.5667227722559973,0.2288692586217018,6,1,1,1,2.25
גבי עמרני,175,242.0,0.05546751188589541,0.05147367288571883,0.5631902138631159,0.21024616610786856,8,4,2,4,4.5
זאב רווח,187,263.0,0.05927099841521395,0.06776439326105094,0.5602345513119737,0.2014603851278238,5,2,3,5,3.75
אבנר חזקיהו,111,172.0,0.03518225039619652,0.03997731015308686,0.5599182628134702,0.19158108210475605,34,9,4,6,13.25
שייקה אופיר,121,199.0,0.03835182250396196,0.03449053968703955,0.5598500120350912,0.22581456406768355,24,14,5,2,11.25
גילה אלמגור,216,276.0,0.06846275752773376,0.06549059060294343,0.5567902218928765,0.18382933514451283,2,3,6,7,4.5
גדעון זינגר,126,201.0,0.03993660855784469,0.038684710711792414,0.5545540539267146,0.21278997190681115,21,10,7,3,10.25
משה איבגי,205,238.0,0.06497622820919176,0.04770360529656395,0.5430389868872697,0.09029525412127498,3,6,8,30,11.75
אריה מוסקונה,156,187.0,0.04944532488114105,0.032108736072428784,0.5416690198880675,0.11627325979326775,12,17,9,14,13.0
לבנה פינקלשטיין,158,186.0,0.05007923930269414,0.0401851594759751,0.539717882609986,0.10206729957125875,11,8,10,20,12.25
אלברט אילוז,156,182.0,0.04944532488114105,0.034200915919645164,0.5380880509680529,0.065725055019556,12,15,11,53,22.75
עמוס לביא,177,204.0,0.05610142630744849,0.05066322606692862,0.5334061805868903,0.07117941871875778,7,5,12,44,17.0
אורי גבריאל,166,192.0,0.0526148969889065,0.03528131028562632,0.5297916177752375,0.06676206100004191,9,13,13,49,21.0
יהודה ברקן,84,121.0,0.026624405705229795,0.01447682216464741,0.5286896487867999,0.09821560243167574,81,29,14,22,36.5
ז'אק כהן,106,134.0,0.03359746434231379,0.008182430286601079,0.5271169697233341,0.10952732905917298,39,66,15,17,34.25
מוסקו אלקלעי,133,163.0,0.042155309033280505,0.0125430930715131,0.5262950528639995,0.13384637522225254,19,36,16,8,19.75
אלישבע מיכאלי,125,153.0,0.039619651347068144,0.0173643515858608,0.5248537586133597,0.12058542684315993,22,25,17,10,18.5
יהודה בארקן,104,139.0,0.0329635499207607,0.013965856050722694,0.5246958082312392,0.09549446975810004,41,31,18,26,29.0
משה איש כסית,85,107.0,0.02694136291600634,0.009233772746025836,0.5243455377505872,0.10358501332677883,79,54,19,19,42.75
אלון אבוטבול,224,252.0,0.07099841521394612,0.04537925360008993,0.5240067246665462,0.07497614575504637,1,7,20,38,16.5
