period,rank,actor,degree
Until 1969,1,אבנר חזקיהו,60
Until 1969,2,בומבה צור,59
Until 1969,3,גילה אלמגור,55
Until 1969,4,אלישבע מיכאלי,55
Until 1969,5,גדעון זינגר,54
Until 1969,6,שייקה אופיר,54
Until 1969,7,אורי זוהר,50
Until 1969,8,אורי לוי,48
Until 1969,9,שייקה לוי,47
Until 1969,10,שרגא פרידמן,47
1970–1989,1,יוסף שילוח,147
1970–1989,2,זאב רווח,109
1970–1989,3,גבי עמרני,106
1970–1989,4,אריה אליאס,95
1970–1989,5,שייקה אופיר,86
1970–1989,6,משה איש כסית,85
1970–1989,7,גדעון זינגר,84
1970–1989,8,ז'אק כהן,81
1970–1989,9,יונה אליאן,80
1970–1989,10,יהודה אפרוני,78
1990–Today,1,משה איבגי,170
1990–Today,2,אלון אבוטבול,162
1990–Today,3,צחי גראד,160
1990–Today,4,אורי גבריאל,144
1990–Today,5,אלברט אילוז,137
1990–Today,6,ליאור אשכנזי,137
1990–Today,7,שמיל בן ארי,136
1990–Today,8,אסי דיין,129
1990–Today,9,יגאל עדיקא,125
1990–Today,10,שרון אלכסנדר,123
