Actor,Degree,Weighted Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Degree Rank,Betweenness Rank,Closeness Rank,Eigenvector Rank,Average Rank
יוסף שילוח,180,259.0,0.05705229793977813,0.080866947851735,0.5667227722559973,0.2288692586217018,6,1,1,1,2.25
שייקה אופיר,121,199.0,0.03835182250396196,0.03449053968703955,0.5598500120350912,0.22581456406768355,24,14,5,2,11.25
גדעון זינגר,126,201.0,0.03993660855784469,0.038684710711792414,0.5545540539267146,0.21278997190681115,21,10,7,3,10.25
גבי עמרני,175,242.0,0.05546751188589541,0.05147367288571883,0.5631902138631159,0.21024616610786856,8,4,2,4,4.5
זאב רווח,187,263.0,0.05927099841521395,0.06776439326105094,0.5602345513119737,0.2014603851278238,5,2,3,5,3.75
אבנר חזקיהו,111,172.0,0.03518225039619652,0.03997731015308686,0.5599182628134702,0.19158108210475605,34,9,4,6,13.25
גילה אלמגור,216,276.0,0.06846275752773376,0.06549059060294343,0.5567902218928765,0.18382933514451283,2,3,6,7,4.5
מוסקו אלקלעי,133,163.0,0.042155309033280505,0.0125430930715131,0.5262950528639995,0.13384637522225254,19,36,16,8,19.75
בומבה צור,74,107.0,0.023454833597464343,0.003384886406009183,0.5213226638334508,0.12295518237539341,116,158,24,9,76.75
אלישבע מיכאלי,125,153.0,0.039619651347068144,0.0173643515858608,0.5248537586133597,0.12058542684315993,22,25,17,10,18.5
גברי בנאי,66,102.0,0.020919175911251982,0.006424080336285038,0.5045032062734542,0.11973596652311569,141,81,45,11,69.5
אריה אליאס,131,161.0,0.04152139461172742,0.012141986080355098,0.5228280437522795,0.11906398940786571,20,39,21,12,23.0
אורי זוהר,97,141.0,0.030744849445324882,0.015551511477629522,0.5147316829244355,0.11905175312030312,51,28,33,13,31.25
אריה מוסקונה,156,187.0,0.04944532488114105,0.032108736072428784,0.5416690198880675,0.11627325979326775,12,17,9,14,13.0
צחי נוי,142,195.0,0.045007923930269415,0.03282381922025894,0.5213242839631216,0.11235952482569483,14,16,23,15,17.0
שייקה לוי,76,107.0,0.024088748019017434,0.0036449399244393634,0.48982115892369116,0.11145513604625439,111,145,60,16,83.0
ז'אק כהן,106,134.0,0.03359746434231379,0.008182430286601079,0.5271169697233341,0.10952732905917298,39,66,15,17,34.25
יהודה אפרוני,112,140.0,0.03549920760697306,0.008075278977225432,0.5191058096931257,0.10656427922958672,32,68,26,18,36.0
משה איש כסית,85,107.0,0.02694136291600634,0.009233772746025836,0.5243455377505872,0.10358501332677883,79,54,19,19,42.75
לבנה פינקלשטיין,158,186.0,0.05007923930269414,0.0401851594759751,0.539717882609986,0.10206729957125875,11,8,10,20,12.25
